                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.81757,                 0.9262,                 1.7151,                0.94395,                0.90637,                0.97904,                0.95541,                0.71851,                0.53995,                 1.7515,             0.00063125,             0.00063125,             0.00063125
                     52,                0.84742,                0.98381,                 1.7521,                0.95519,                0.88744,                0.97771,                0.95405,                0.70357,                0.54868,                 1.7382,             0.00061887,             0.00061887,             0.00061887
                     53,                0.82787,                0.90604,                 1.7272,                 0.9152,                0.90254,                0.96972,                0.95228,                0.70749,                0.61993,                 1.7558,              0.0006065,              0.0006065,              0.0006065
                     54,                0.79852,                0.90354,                 1.7207,                0.93866,                0.90873,                0.97753,                0.95873,                 0.6849,                0.56033,                 1.7369,             0.00059413,             0.00059413,             0.00059413
                     55,                0.79971,                0.85639,                 1.7179,                0.92858,                0.91179,                0.97464,                0.95694,                0.71096,                0.59143,                 1.7518,             0.00058175,             0.00058175,             0.00058175
                     56,                 0.7789,                0.85806,                 1.7267,                0.94473,                0.91607,                0.98168,                0.96443,                0.69568,                0.53502,                 1.7642,             0.00056938,             0.00056938,             0.00056938
                     57,                0.79272,                0.87922,                 1.7217,                0.95881,                0.92609,                0.98474,                 0.9664,                 0.7027,                0.49862,                 1.7552,               0.000557,               0.000557,               0.000557
                     58,                0.78429,                 0.8776,                 1.7197,                0.90937,                0.94641,                0.98138,                0.96071,                0.69724,                0.51796,                 1.7476,             0.00054463,             0.00054463,             0.00054463
                     59,                0.75643,                0.84718,                  1.703,                0.92477,                0.92973,                0.97972,                0.96446,                0.68195,                0.52544,                 1.7722,             0.00053225,             0.00053225,             0.00053225
                     60,                0.75372,                0.84914,                 1.7018,                0.95121,                0.92846,                0.98288,                0.96745,                0.70137,                0.50521,                  1.776,             0.00051988,             0.00051988,             0.00051988
                     61,                0.75573,                0.86485,                 1.7071,                0.96265,                0.90559,                0.98302,                0.96833,                0.67454,                0.50854,                 1.7629,              0.0005075,              0.0005075,              0.0005075
                     62,                0.76057,                0.83817,                 1.6987,                0.94947,                0.90551,                 0.9766,                0.96412,                0.66664,                0.52262,                 1.7469,             0.00049513,             0.00049513,             0.00049513
                     63,                0.75341,                0.82524,                 1.7073,                0.94881,                0.91636,                0.98135,                0.96654,                0.69575,                0.50001,                 1.7678,             0.00048275,             0.00048275,             0.00048275
                     64,                0.74549,                0.82856,                 1.6998,                0.95528,                0.91616,                0.98196,                0.97058,                 0.6528,                0.48706,                 1.7626,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71112,                0.77617,                 1.6908,                0.96155,                0.91428,                0.98244,                0.96732,                 0.6839,                0.49015,                 1.7799,               0.000458,               0.000458,               0.000458
                     66,                0.71426,                0.80215,                 1.6999,                0.93745,                0.92794,                0.98013,                0.96784,                0.65024,                0.48753,                 1.7679,             0.00044563,             0.00044563,             0.00044563
                     67,                0.72936,                0.80966,                 1.7034,                0.92188,                0.94119,                0.97996,                0.96806,                0.65106,                0.49276,                 1.7586,             0.00043325,             0.00043325,             0.00043325
                     68,                0.72322,                0.81421,                 1.7014,                0.96746,                0.92221,                0.98482,                0.97259,                0.64876,                0.46239,                 1.7448,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70712,                0.78271,                 1.6975,                0.97346,                0.94129,                 0.9878,                0.97879,                0.63805,                 0.4377,                 1.7525,              0.0004085,              0.0004085,              0.0004085
                     70,                  0.719,                0.79373,                 1.6904,                0.95147,                0.95312,                0.98688,                0.97486,                0.66676,                 0.4527,                 1.7735,             0.00039613,             0.00039613,             0.00039613
                     71,                0.71892,                0.80638,                 1.7007,                0.96961,                0.91627,                0.98469,                 0.9749,                0.65302,                0.45682,                 1.7803,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.7238,                0.82997,                 1.7115,                 0.9452,                0.93756,                0.98474,                0.97067,                0.68106,                0.45638,                 1.7749,             0.00037138,             0.00037138,             0.00037138
                     73,                0.70437,                0.78466,                 1.6975,                0.94143,                0.94377,                0.98552,                0.97698,                 0.6265,                0.44309,                 1.7631,               0.000359,               0.000359,               0.000359
                     74,                0.72001,                0.80308,                  1.703,                0.95483,                0.94351,                0.98512,                0.97672,                0.61313,                0.44683,                 1.7649,             0.00034663,             0.00034663,             0.00034663
